SMILES,CID
CC(C)[C@@H](Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,91768
CCOC(=O)c1ccc(cc1)N(C)C,25127
CC1(C)C2CCC1(C)C(=O)C2Br,6438
[Cl-].[Au+],27366
[Ba++].[O-][Cr]([O-])(=O)=O,25136
OCC(O)C[S](O)(=O)=O,112025
ClCCCCI,82527
CC(O)CNC1CCCCC1,7630
CC(C)(O)CCc1ccccc1,7632
CCCCC(CC)COC(C)=O,7635
CCCCC(CC)COC(=O)C=C,7636
Oc1ccc(OCc2ccccc2)cc1,7638
Cc1ccc(SSc2ccc(C)cc2)cc1,66027
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,7641
CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,7642
COC(=O)\C=C\c1ccccc1,637520
CC(C)C(=O)OCc1ccccc1,7646
C(Nc1ccccc1)c2ccccc2,66028
c1ccc(cc1)N=Nc2ccccc2,2272
C1CN(CCO1)SSN2CCOCC2,7648
CCOC(=O)\C=C\c1ccccc1,637758
CCCC(=O)OCc1ccccc1,7650
CC(C)CC(=O)OCc1ccccc1,7651
CC(=O)OCCc1ccccc1,7654
CC(C)C(=O)OCCc1ccccc1,7655
C(NCc1ccccc1)c2ccccc2,7656
C(OCc1ccccc1)c2ccccc2,7657
CCCC(=O)OCCc1ccccc1,7658
CC(=O)OC\C=C\c1ccccc1,5282110
CCCCNc1ccc(O)cc1,7665
Br\C=C\c1ccccc1,5314126
CCCc1ccccc1,7668
CNCc1ccccc1,7669
CCNc1ccccc1,7670
O=C=Nc1ccccc1,7672
S=C=Nc1ccccc1,7673
CCOc1ccccc1,7674
OCCc1ccccn1,7675
OCCN1CCNCC1,7677
NC(=O)Cc1ccccc1,7680
OC(=O)Cc1ccccc1,999
CN(C)Cc1ccccc1,7681
CC(=O)Nc1ccccc1,904
NC(=S)Nc1ccccc1,676454
CC(=O)Nc1ccc(O)cc1,1983
CC(C)c1ccc(cc1)C(C)CC=O,7687
CCCCCCCCCCCC(=O)Nc1ccc(O)cc1,66902
CCCCCCCCCCCCCCCCCC(=O)Nc1ccc(O)cc1,7689
FC(C(F)(F)F)C(F)(F)Oc1cc(Cl)c(NC(=O)NC(=O)c2c(F)cccc2F)cc1Cl,71777
CC(C)=C[C@@H]1[C@H](C(=O)OC2CC(=O)C(=C2C)CC#C)C1(C)C,190476
C[C@H](CC[C@H](C)C(C)(C)C)[C@H]1CC[C@H]2[C@@H]3C[C@H](O[S](O)(=O)=O)[C@H]4C[C@H](O[S](O)(=O)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)O[S](O)(=O)=O,73361
CC(C)=CCC[C@@](C)(C=C)\C=C\c1ccc(O)cc1,5468522
[Cl-].CN(C)c1ccc(cc1)[C+](c2ccccc2)c3ccc(cc3)N(C)C,11294
ClC1=C(Cl)C2(Cl)C3CO[S](=O)(=O)OCC3C1(Cl)C2(Cl)Cl,13940
Nc1nc(Cl)c2[nH]cnc2n1,5360349
CCO[P](=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,25146
O.O.[Cl-].[Cl-].[Ba++],25157
CC(O)C(O)=O,612
Fc1cc2OCC(=O)N(CC#C)c2cc1N3C(=O)C4=C(CCCC4)C3=O,92425
CC/C(C)=C/CCC(C)(O)C=C,6433547
CCCCCCCCCCCCCCOC(=O)\C=C\C(=O)OCCCCCCCCCCCCCC,6437727
